--- SUMMARY ---
Metric,Value
Risk Score,80
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,14 days
Affected Zones,Villa Hermosa; Belén; Manrique

--- ZONE RISKS ---
Zone,Risk Score
Belén,93
Bello,91
Villa Hermosa,89
Manrique,88
San Javier,77
Robledo,76
Aranjuez,71

--- EVIDENCE LOG ---
Date,Headline,Source,Relevance
2024-12-02,EN VIDEO: ¡Capturaron a 6! Le cayeron a Los del 12 y a los de Robledo por robo de vehículos,qhubomedellin.com,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Medellín: Capturan a alias 'El Flaco', cabecilla de la banda 'Los Chatas',www.youtube.com,0.9
2024-12-02,Medellín crime statistics report,www.personeriamedellin.gov.co,0.9
2024-11-18,Supuestos integrantes del Clan del Golfo extorsionaron a comerciante y secuestraron a su hijo,www.publimetro.co,0.9
2024-11-01,Ejército y Fiscalía capturan a integrante de Los Chatas en el Valle de Aburrá, Antioquia,www.cgfm.mil.co,0.9
2024-11-01,Clan Del Golfo | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-10-13,La Oficina, la empresa criminal que ofrece seguridad a capos de la mafia extranjeros en Medellín: pueden vacacionar y hacer negocios,www.infobae.com,0.9
2024-10-08,Capturan a tres presuntos extorsionistas de La Terraza en Medellín: exigirían millonarias sumas a empresario,analisisurbano.org,0.9
2024-10-03,Capturado el coordinador logístico de la estructura "Los Chatas" en Bello,www.alertapaisa.com,0.9
2024-08-10,Integrantes de "La Terraza", distribuían drogas en carros de transporte de alimentos,caracol.com.co,0.9
2024-07-03,Por qué capturaron y luego liberaron a sospechoso de asesinar a ‘Pichi Gordo’, cabecilla de La Terraza,www.infobae.com,0.9
2024-04-22,División interna del Clan del Golfo estaría elevando los homicidios en el Suroeste antioqueño,www.elcolombiano.com,0.9
2023-09-29,Cayó en Medellín importante cabecilla del Clan del Golfo: así fue su captura,www.infobae.com,0.9
2023-06-13,¿Quién es quién en el crimen organizado del Valle de Aburrá?,www.elcolombiano.com,0.9
2021-02-15,Medellín fortalece su estrategia de seguridad con nuevos golpes contra el crimen organizado,www.medellin.gov.co,0.9
2017-01-01,El pulpo de “la Oficina” sigue vivo,www.elcolombiano.com,0.9
2025-02-18,El “Bebé” del crimen: capturan a presunto coordinador y dinamizador de delitos en Belén Rincón,h13n.com,0.85
2024-12-02,Capturado en Medellín presunto integrante del “clan del golfo”,inhabilidades.policia.gov.co,0.85
2025-05-28,Capturan 'El Ghetto', red que secuestraba y extorsionaba a turistas,www.medellin.gov.co,0.8
2025-07-01,Douglas | Revelaciones del bajo mundo,www.elcolombiano.com,0.7
2024-12-23,Cese de extorsiones en Medellín y Bello inició este 19 de diciembre,www.ipc.org.co,0.7
2024-12-02,Robledo | Revelaciones del bajo mundo,www.elcolombiano.com,0.7
2024-12-02,Valle De Aburrá | Revelaciones del bajo mundo,www.elcolombiano.com,0.7
2024-12-02,Medellín: 10 muertos en 24 horas, la mayoría en enfrentamientos entre bandas,telemedellin.tv,0.7
2024-11-29,Seis capturados en Medellín por extorsión gracias a denuncias ciudadanas,analisisurbano.org,0.7
2024-11-01,Ejército y Policía capturaron a dos integrantes del Clan del Golfo, quienes pretendían reclutar a un menor de edad en Nechí, Antioquia,www.cgfm.mil.co,0.7
2024-10-14,Clan del Golfo liberó a dos presuntos integrantes del ELN que estaban retenidos en Antioquia,www.infobae.com,0.7
2024-06-22,Por incremento en extorsiones en Medellín solicitan medidas al Gobierno nacional,www.infobae.com,0.7
2021-12-02,Ofensiva contra el tráfico de estupefacientes en el Valle de Aburrá,www.policia.gov.co,0.7
2024-12-02,Medellín: 2024 cerrará con menos de 400 homicidios, la cifra más baja en 50 años,www.minuto30.com,0.6
2024-12-02,Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años,www.minuto30.com,0.6
2024-12-02,Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años,www.minuto30.com,0.6
2024-12-02,Combos | Revelaciones del bajo mundo,www.elcolombiano.com,0.6
2024-12-02,Medellín: 10 muertos y 11 heridos en fin de semana violento,primeraedicioncol.com,0.6
2024-12-02,Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años,telemedellin.tv,0.6
2024-01-29,11 personas capturadas en el Valle de Aburrá por extorsión y otros delitos,www.coosmovision.com,0.6
2023-11-23,El 44% de los homicidios ocurridos este año en el Valle de Aburrá se han esclarecido,caracol.com.co,0.6
2023-07-17,En operativos contra el crimen organizado se ejecutaron dos capturas y se incautaron cuatro armas de fuego,www.medellin.gov.co,0.6
2023-01-20,Análisis de homicidios en Medellín, Diciembre 2022,casadelasestrategias.com,0.6
2022-01-15,Con inteligencia y tecnología, Medellín logra los primeros resultados del año contra el homicidio y el microtráfico,www.medellin.gov.co,0.6
2020-12-04,Capturan a 22 policías por presuntas alianzas con la delincuencia en Medellín,www.alertapaisa.com,0.6
2020-12-04,Capturan a 22 policías por supuestos casos de corrupción en Medellín,caracol.com.co,0.6
2020-06-01,Homicidios del Valle de Aburrá se han transformado,www.minuto30.com,0.6
2025-11-21,Delegación de Paz urbana denuncia un desfase en el reporte de homicidios en el Valle de Aburrá,www.wradio.com.co,0.4
2024-12-02,Medellín: 2024 cerraría con menos de 300 homicidios, la cifra más baja en 50 años,www.minuto30.com,0.4
2024-04-12,Escalada de secuestros exprés en el Valle de Aburrá: van dos casos en Bello en una semana,www.infobae.com,0.4
2024-02-27,52% redujo la extorsión en Medellín al inicio de este 2024,enotroangulo.com.co,0.4
2023-12-02,Contundentes resultados operativos contra el homicidio en el Valle de Aburrá,oas.policia.gov.co,0.4
2020-09-06,Sijín de la Policía capturó a dos integrantes de la banda el Trianón de Envigado,analisisurbano.org,0.4
2019-09-01,16 capturados por lavar activos,elhomenoticias.com,0.4
2024-12-02,Clan del Golfo,es.wikipedia.org,0.3
2024-12-02,Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años,www.minuto30.com,0.3
2024-12-02,Bandas | Revelaciones del bajo mundo,www.elcolombiano.com,0.3
2024-12-02,El Inspector | Revelaciones del bajo mundo - Part 8,www.elcolombiano.com,0.3
2024-12-02,Clan del Golfo,es.wikipedia.org,0.3
2024-12-02,Medellín diez años después de la «Operación Orión»,rebelion.org,0.3
2024-12-02,Los Triana | Hora 13 Noticias,h13n.com,0.3
2024-12-02,Medellín crime news,www.youtube.com,0.3
2024-12-02,Medellín crime statistics and trends report,inbio.uca.es,0.3
2024-12-02,Tres días de aguda violencia en el Valle de Aburrá,www.elcolombiano.com,0.3
2024-12-02,Medellín crime statistics report,alertasstg.blob.core.windows.net,0.3
2024-12-02,Cronología del Cartel de Medellín,es.wikipedia.org,0.3
2024-12-02,Clan del Golfo,es.wikipedia.org,0.3
2024-01-30,Tendencia a la baja en la cifra de homicidios: Valle de Aburrá cerró 2023 con una reducción del 3.4 %,analisisurbano.org,0.3
2024-01-27,Más de 1500 homicidios se registraron en Medellín entre los años 2020 a 2023,www.personeriamedellin.gov.co,0.3
2023-03-09,Una nueva racha violenta en el Valle de Aburrá: seis personas fueron asesinadas este miércoles,www.elcolombiano.com,0.3
2023-02-01,29 personas fueron asesinadas en enero de 2023 en Medellín,www.alertapaisa.com,0.3
2022-01-01,Las dos caras de los homicidios de 2021 en Medellín,www.elcolombiano.com,0.3
2019-09-30,LIBRO CARACTERIZACION DEL HOMICIDIO,www.medellin.gov.co,0.3
2024-12-02,Estadística delictiva,www.policia.gov.co,0.2
2019-12-01,La violencia delictiva, el Estado y la sociedad civil: Ciudad Juárez, Medellín y Río de Janeiro,www.scielo.org.mx,0.2
